,time_int,sms_in,sms_out,call_in,call_out,internet,SUMA,month,day,hour,minutes,day_of_week,Weekday
0,10/31/2013 23:00,29339.05872,22004.3317,14259.7317,30131.34023,615106.5873,710841.0497,10,31,23,0,Thu,3
1,10/31/2013 23:10,24838.52856,20572.45995,16597.4013,43128.12064,584470.3919,689606.9024,10,31,23,10,Thu,3
2,10/31/2013 23:20,22147.87469,19213.02002,15458.15306,41379.12732,575643.0534,673841.2285,10,31,23,20,Thu,3
3,10/31/2013 23:30,21600.59485,20501.71352,19082.93543,51928.76965,528350.1551,641464.1686,10,31,23,30,Thu,3
4,10/31/2013 23:40,20341.68672,18216.11773,18634.79461,64947.02692,501226.4981,623366.124,10,31,23,40,Thu,3
5,10/31/2013 23:50,19563.03503,18953.65329,23887.26576,66712.95902,478702.4475,607819.3606,10,31,23,50,Thu,3
6,11/1/2013 0:00,19102.18652,19136.20488,26323.42741,73154.94451,447972.7324,585689.4957,11,1,0,0,Fri,4
7,11/1/2013 0:10,19191.82865,19390.76838,30465.7912,86274.38554,416168.0257,571490.7995,11,1,0,10,Fri,4
8,11/1/2013 0:20,17360.25321,19593.71597,32206.48688,93344.92955,388632.547,551137.9326,11,1,0,20,Fri,4
9,11/1/2013 0:30,16293.12511,22781.29572,35498.59435,101510.2444,369646.8915,545730.1511,11,1,0,30,Fri,4
10,11/1/2013 0:40,17490.98452,20559.40578,44254.04252,106827.2728,346559.226,535690.9316,11,1,0,40,Fri,4
11,11/1/2013 0:50,16140.16719,22771.07113,39566.1317,98358.87046,333173.7357,510009.9762,11,1,0,50,Fri,4
12,11/1/2013 1:00,16794.9216,21785.55109,47750.54247,106393.2826,305818.9512,498543.2489,11,1,1,0,Fri,4
13,11/1/2013 1:10,18108.57301,26516.21589,50028.6941,105452.9296,289711.3337,489817.7463,11,1,1,10,Fri,4
14,11/1/2013 1:20,18788.14563,29944.83228,55754.47663,110687.1949,259072.0193,474246.6688,11,1,1,20,Fri,4
15,11/1/2013 1:30,18033.80464,33386.9204,61278.31554,100750.5386,251267.1614,464716.7406,11,1,1,30,Fri,4
16,11/1/2013 1:40,17842.25555,32688.5776,63398.74679,113667.8789,225896.2552,453493.7141,11,1,1,40,Fri,4
17,11/1/2013 1:50,21115.06453,28814.14987,61988.40192,105232.4738,223912.2879,441062.378,11,1,1,50,Fri,4
18,11/1/2013 2:00,22582.20972,39458.40182,65613.25707,107217.3505,197285.198,432156.4171,11,1,2,0,Fri,4
19,11/1/2013 2:10,20571.36353,36682.1404,73134.58671,104029.1241,195338.0924,429755.3071,11,1,2,10,Fri,4
20,11/1/2013 2:20,19554.87861,35982.59842,66972.80448,97957.5355,193483.0574,413950.8744,11,1,2,20,Fri,4
21,11/1/2013 2:30,19937.61765,33748.998,72930.98094,102169.0707,178817.8321,407604.4994,11,1,2,30,Fri,4
22,11/1/2013 2:40,21841.9996,47660.74757,71654.56176,95938.14385,173489.0152,410584.468,11,1,2,40,Fri,4
23,11/1/2013 2:50,21366.40089,39480.83533,68975.87999,98096.71255,166262.0969,394181.9257,11,1,2,50,Fri,4
24,11/1/2013 3:00,22406.32483,45198.50393,71895.45155,92378.12286,161258.0413,393136.4445,11,1,3,0,Fri,4
25,11/1/2013 3:10,22199.82027,43188.94469,73855.95285,102750.0533,145329.3743,387324.1455,11,1,3,10,Fri,4
26,11/1/2013 3:20,19680.93718,48284.17074,67883.0483,94224.01949,145455.8193,375527.995,11,1,3,20,Fri,4
27,11/1/2013 3:30,20086.55193,47304.02677,82169.17988,97813.30919,121973.299,369346.3668,11,1,3,30,Fri,4
28,11/1/2013 3:40,22056.12053,45139.2561,79939.49765,95210.52965,126790.0414,369135.4453,11,1,3,40,Fri,4
29,11/1/2013 3:50,21414.26305,48025.82027,78799.69135,96665.90641,114281.5214,359187.2024,11,1,3,50,Fri,4
30,11/1/2013 4:00,20018.20821,38365.7904,67687.29542,98120.6088,131600.1598,355792.0626,11,1,4,0,Fri,4
31,11/1/2013 4:10,23557.43149,42154.2953,73080.71373,103072.556,112563.8871,354428.8836,11,1,4,10,Fri,4
32,11/1/2013 4:20,23834.58735,42441.15454,72938.91701,105360.7822,104073.5699,348649.011,11,1,4,20,Fri,4
33,11/1/2013 4:30,20923.72887,41422.18032,70772.91103,103220.8128,115716.0339,352055.6669,11,1,4,30,Fri,4
34,11/1/2013 4:40,20811.23114,41826.03672,79787.96412,97677.1572,108163.5594,348265.9485,11,1,4,40,Fri,4
35,11/1/2013 4:50,20945.16703,46857.37499,78612.53351,101793.2019,102388.7876,350597.065,11,1,4,50,Fri,4
36,11/1/2013 5:00,18084.88036,34745.82562,63184.94566,105724.7972,132378.7054,354119.1543,11,1,5,0,Fri,4
37,11/1/2013 5:10,15590.84753,37352.63418,63917.74431,116771.0085,121530.6417,355162.8763,11,1,5,10,Fri,4
38,11/1/2013 5:20,16277.96723,30209.62773,63271.52332,103414.4773,139411.4011,352584.9967,11,1,5,20,Fri,4
39,11/1/2013 5:30,14599.19546,28008.24867,53420.61046,103308.0632,163129.3146,362465.4325,11,1,5,30,Fri,4
40,11/1/2013 5:40,12331.92981,25441.52608,53565.08018,107283.5975,172650.5774,371272.711,11,1,5,40,Fri,4
41,11/1/2013 5:50,13110.32441,22269.52545,38556.90244,95293.40662,205358.428,374588.587,11,1,5,50,Fri,4
42,11/1/2013 6:00,13022.09928,16060.0107,35674.63023,87244.36109,237781.5993,389782.7006,11,1,6,0,Fri,4
43,11/1/2013 6:10,12911.67466,15880.43243,31122.1403,84938.14905,257817.1674,402669.5638,11,1,6,10,Fri,4
44,11/1/2013 6:20,12531.76333,14434.37872,19460.901,68034.0989,287442.4328,401903.5747,11,1,6,20,Fri,4
45,11/1/2013 6:30,13288.58281,12983.00142,21189.23571,58613.36446,322005.2979,428079.4823,11,1,6,30,Fri,4
46,11/1/2013 6:40,14483.53674,13453.04014,16482.73229,51394.1349,346170.6207,441984.0648,11,1,6,40,Fri,4
47,11/1/2013 6:50,17053.6275,15520.38048,13475.26525,41070.67714,373851.2226,460971.173,11,1,6,50,Fri,4
48,11/1/2013 7:00,40837.01722,16001.88225,11711.20011,32553.86263,405527.5782,506631.5404,11,1,7,0,Fri,4
49,11/1/2013 7:10,40860.17896,16705.14985,10409.15906,26207.53876,421843.6441,516025.6708,11,1,7,10,Fri,4
50,11/1/2013 7:20,42369.95787,19077.78269,11400.54634,23097.05741,441397.0603,537342.4046,11,1,7,20,Fri,4
51,11/1/2013 7:30,42949.86713,19735.24025,13054.59453,24274.33458,463993.8262,564007.8627,11,1,7,30,Fri,4
52,11/1/2013 7:40,41714.14752,20311.93074,14612.42028,24389.80616,489527.5968,590555.9015,11,1,7,40,Fri,4
53,11/1/2013 7:50,41988.29985,23135.20872,16452.14041,24193.82565,502205.1577,607974.6323,11,1,7,50,Fri,4
54,11/1/2013 8:00,48758.71128,23728.89576,19269.58542,26240.18199,524826.3438,642823.7183,11,1,8,0,Fri,4
55,11/1/2013 8:10,49309.96099,25129.6298,20535.42546,28282.97828,546593.4175,669851.412,11,1,8,10,Fri,4
56,11/1/2013 8:20,44326.32214,25603.66284,23570.53654,31993.57401,559818.2738,685312.3693,11,1,8,20,Fri,4
57,11/1/2013 8:30,49928.9295,26666.4482,25152.00417,33415.90882,586314.0783,721477.369,11,1,8,30,Fri,4
58,11/1/2013 8:40,50644.70461,27505.62224,28375.11542,35224.16631,595046.1994,736795.808,11,1,8,40,Fri,4
59,11/1/2013 8:50,51561.02753,27640.30294,29438.10891,37372.66606,608879.3839,754891.4894,11,1,8,50,Fri,4
60,11/1/2013 9:00,64459.11368,28624.57993,32274.14592,37922.49121,623895.0679,787175.3987,11,1,9,0,Fri,4
61,11/1/2013 9:10,62065.79197,29265.52116,33087.54768,40128.38162,641703.3172,806250.5596,11,1,9,10,Fri,4
62,11/1/2013 9:20,61680.64638,29021.85208,34216.9123,41978.01103,658657.0075,825554.4293,11,1,9,20,Fri,4
63,11/1/2013 9:30,58014.20665,28926.74588,35957.21281,42875.38907,662186.6939,827960.2483,11,1,9,30,Fri,4
64,11/1/2013 9:40,58105.51651,29546.28427,37013.67645,44458.07988,661940.3746,831063.9318,11,1,9,40,Fri,4
65,11/1/2013 9:50,57361.72416,30013.91376,39050.19815,45692.42734,676875.8297,848994.0931,11,1,9,50,Fri,4
66,11/1/2013 10:00,62667.26948,30379.27275,39604.19147,46951.8698,683909.5081,863512.1116,11,1,10,0,Fri,4
67,11/1/2013 10:10,60654.30501,30024.64853,39661.30262,46283.70197,692362.95,868986.9082,11,1,10,10,Fri,4
68,11/1/2013 10:20,61024.74277,29992.77163,39291.80393,48662.86,678767.4199,857739.5982,11,1,10,20,Fri,4
69,11/1/2013 10:30,58928.06688,30508.09216,39133.36149,45648.9174,692772.3516,866990.7896,11,1,10,30,Fri,4
70,11/1/2013 10:40,60348.18649,30342.51967,40331.01246,46579.91548,689503.949,867105.5831,11,1,10,40,Fri,4
71,11/1/2013 10:50,59953.51265,30021.13634,39340.56497,47578.28975,684475.1628,861368.6665,11,1,10,50,Fri,4
72,11/1/2013 11:00,59984.15071,30109.95602,39526.59036,45864.24008,690273.4148,865758.352,11,1,11,0,Fri,4
73,11/1/2013 11:10,57657.39292,29904.5698,39007.14676,45720.43681,684517.4209,856806.9672,11,1,11,10,Fri,4
74,11/1/2013 11:20,57496.55978,29010.42529,36969.08236,43878.10401,680351.2291,847705.4005,11,1,11,20,Fri,4
75,11/1/2013 11:30,55618.56002,28132.68167,35848.64068,41368.0223,671862.3985,832830.3031,11,1,11,30,Fri,4
76,11/1/2013 11:40,60388.71209,28203.7001,33566.19498,40065.17219,670124.1595,832347.9389,11,1,11,40,Fri,4
77,11/1/2013 11:50,55163.14861,26644.04471,31144.01743,38562.01562,651481.4064,802994.6328,11,1,11,50,Fri,4
78,11/1/2013 12:00,54215.8436,26821.1416,29828.83823,37489.7371,640717.857,789073.4175,11,1,12,0,Fri,4
79,11/1/2013 12:10,47063.17881,25482.29213,26842.03818,33874.56114,639545.1019,772807.1722,11,1,12,10,Fri,4
80,11/1/2013 12:20,45471.42887,25336.22579,26376.64602,32969.77883,632483.9427,762638.0222,11,1,12,20,Fri,4
81,11/1/2013 12:30,45421.7247,25246.34817,25357.98923,32860.11385,645469.0049,774355.1809,11,1,12,30,Fri,4
82,11/1/2013 12:40,45558.59686,26133.56199,24123.81453,31840.50903,649233.5658,776890.0482,11,1,12,40,Fri,4
83,11/1/2013 12:50,44547.15613,25278.4324,23991.71642,31443.19718,650134.596,775395.0981,11,1,12,50,Fri,4
84,11/1/2013 13:00,45042.6051,26049.81227,24941.39496,33052.024,662986.7932,792072.6296,11,1,13,0,Fri,4
85,11/1/2013 13:10,45751.55515,25946.17209,24943.25031,31385.95677,667523.8666,795550.8009,11,1,13,10,Fri,4
86,11/1/2013 13:20,48479.38269,26278.17243,25500.64095,32856.11404,656845.6235,789959.9336,11,1,13,20,Fri,4
87,11/1/2013 13:30,48372.09776,25881.77892,26025.3682,31626.41508,674464.1684,806369.8284,11,1,13,30,Fri,4
88,11/1/2013 13:40,46340.78988,25516.96736,25706.87837,31338.4699,668297.5034,797200.6089,11,1,13,40,Fri,4
